"","0","1","2","3","4","5","6","7","8","9","class","out","inlier"
"1",0.14100575,2.2064603e-06,0.8578061,0.00046654805,0.00019202154,5.4493826e-06,5.829879e-05,1.1625382e-05,0.00044571154,6.297471e-06,2,"actual",1
"2",3.4836057e-07,8.419254e-08,0.98567235,0.012909985,0.001243651,4.9755738e-05,4.8321133e-05,6.264931e-05,9.681122e-07,1.1888756e-05,2,"actual",1
"3",7.216806e-07,3.8968557e-09,0.9999565,3.1111824e-05,2.5811724e-07,1.0300089e-05,4.613319e-07,6.8764933e-07,1.5408208e-09,2.7926045e-10,2,"actual",1
"4",5.472244e-08,2.1058523e-10,1.7306524e-05,0.00026832454,0.030076317,0.00019265965,2.1532127e-08,0.96944505,1.5765533e-08,1.6875065e-07,7,"actual",1
"5",2.4577876e-05,7.3327546e-06,3.7663708e-07,6.452943e-09,1.7269394e-07,3.5943536e-08,1.5490724e-09,5.6496024e-08,8.4487265e-06,0.9999589,9,"actual",1
"6",0.0015929434,1.2480384e-05,0.6379773,0.0020545202,0.0017538896,0.27533266,0.081101716,8.8129724e-05,7.255821e-05,1.3713504e-05,2,"actual",1
"7",1.7038292e-05,3.3536745e-07,0.97946006,5.9496037e-05,4.4214295e-05,0.020413795,3.8617193e-07,1.6094489e-06,2.6619537e-07,2.8735428e-06,2,"actual",1
"8",0.00063913496,0.0016286202,8.8578345e-06,9.761057e-06,0.00039768708,1.2706292e-05,1.7346015e-06,0.00019055196,0.9968412,0.00026976946,8,"actual",1
"9",2.619878e-09,6.539337e-11,5.2887115e-11,1.9056912e-09,4.818951e-09,6.6013826e-11,6.444908e-11,4.0220312e-13,0.9999995,4.947576e-07,8,"actual",1
"10",2.4555385e-07,0.96840984,9.711889e-07,7.725022e-06,5.6597105e-07,2.2285564e-08,1.02293264e-07,1.9087626e-10,0.0011446283,0.03043599,1,"actual",1
"11",1.4296455e-07,5.9133025e-11,1.1568038e-10,1.4118986e-07,1.6579506e-06,1.6667103e-07,2.1225015e-08,0.99999785,2.2854728e-10,1.0941076e-07,7,"actual",1
"12",4.0832408e-08,6.817236e-13,0.9993463,3.1339343e-06,0.00027514604,1.5357524e-07,0.00037504928,4.4364096e-08,9.440487e-10,1.12560755e-07,2,"actual",1
"13",3.6912944e-08,4.048019e-09,5.1231247e-08,0.99996245,2.0949796e-05,1.0263488e-05,6.2658173e-06,1.3773023e-10,4.5593285e-09,2.5466345e-08,3,"actual",1
"14",1.5534773e-08,2.7202405e-12,5.5851447e-06,0.0001172434,0.00027896187,4.3082287e-06,5.2388e-07,0.99959344,3.5414094e-10,5.2938615e-10,7,"actual",1
"15",2.6572155e-07,2.3417654e-06,0.000350402,0.0003295551,7.4407535e-06,1.7754213e-05,0.99919444,2.7921232e-09,2.1749413e-05,7.601483e-05,6,"actual",1
"16",7.084926e-09,0.99996424,4.2923648e-10,1.7566744e-10,3.3610494e-09,9.8472886e-14,2.8992024e-09,4.590193e-12,3.325157e-05,2.466102e-06,1,"actual",1
"17",0.99993503,2.488631e-07,2.8046998e-06,3.5979843e-07,2.775558e-06,8.0020035e-09,7.184399e-08,8.15711e-06,5.0308467e-05,2.3128757e-07,0,"actual",1
"18",0.0002008937,0.9958657,4.5080432e-11,3.4467362e-09,4.9356563e-10,4.3400145e-12,6.800158e-16,7.8366455e-08,0.0002775534,0.0036557599,1,"actual",1
"19",2.9560651e-06,5.938313e-08,0.07064081,0.0008685597,0.0207531,7.474026e-05,0.9076579,3.9406459e-07,1.268514e-06,1.9305713e-07,6,"actual",1
"20",3.236547e-08,1.2804833e-09,4.8408103e-05,0.00022857988,0.007803175,0.987694,5.997202e-06,0.0042186277,1.0117693e-06,8.482589e-08,5,"actual",1
"21",2.254188e-09,0.9999988,4.0318137e-13,8.645352e-14,2.3707636e-10,1.3139274e-15,6.744085e-14,6.534121e-11,1.2113364e-06,1.1345828e-08,1,"actual",1
