"","0","1","2","3","4","5","6","7","8","9","class","inlier","type","index"
"1",0.9525668,6.072279e-08,0.00012236134,1.8554681e-05,0.04685854,6.813214e-05,1.8238035e-07,0.00022187456,0.00011428533,2.9344295e-05,0,1,"x_in",3491
"2",0.28673708,0.0041773207,0.0002852898,0.00029534986,0.00030071335,2.8718236e-05,6.6487155e-07,1.2011978e-05,0.64910895,0.05905393,0,0,"x_miss",8703
"3",0.9998901,1.8655941e-06,1.7567646e-07,1.269572e-09,7.339267e-06,2.714652e-07,5.8974916e-08,4.6230735e-08,8.4646905e-05,1.5497228e-05,0,1,"x_in",6549
"4",0.9967746,0.0016716709,2.5181732e-06,0.0003158566,8.862312e-10,8.3398305e-07,1.0112423e-11,8.268973e-09,0.0012338985,6.413413e-07,0,1,"x_in",4818
"5",0.99535733,3.1307652e-06,9.591858e-05,1.876699e-05,0.0017494455,0.00035105104,2.1145257e-05,0.0023898664,3.3456448e-07,1.2917259e-05,0,1,"x_in",3621
"6",0.99956924,1.4396513e-06,6.5691455e-07,1.3306948e-05,2.8414159e-05,2.3606675e-07,2.037212e-06,0.00034027945,7.6722904e-07,4.3656364e-05,0,1,"x_in",5492
"7",0.9835,0.00035879787,8.319524e-07,2.4505734e-08,9.230842e-06,1.4011421e-12,1.468317e-12,1.280382e-07,0.00070914417,0.015421729,0,1,"x_in",4229
"8",0.05077587,2.3130056e-06,2.4852241e-05,0.00071810826,0.44708067,1.7449103e-05,1.47553e-06,0.4971395,7.60899e-06,0.0042321053,0,0,"x_miss",3551
"9",0.0013062324,3.8841204e-06,0.90889883,0.008253422,4.9134144e-07,3.370946e-05,0.00036691315,1.777495e-08,0.081115246,2.1325925e-05,0,0,"x_miss",5311
"10",0.980267,9.933633e-12,0.019442724,5.536456e-08,0.0002875219,8.38836e-09,2.7437627e-06,4.58575e-09,2.4345178e-08,7.590939e-09,0,1,"x_in",2969
"11",0.5771581,0.015667595,0.022631118,0.004980918,5.5113363e-05,0.0008300355,0.0002743373,0.08778896,3.349036e-05,0.29058027,0,1,"x_in",4368
"12",0.9966097,6.0872143e-09,3.943947e-07,1.1563446e-09,6.4364235e-07,6.261377e-09,3.348693e-10,6.9725203e-09,0.0033886658,6.7781883e-07,0,1,"x_in",8936
"13",0.18064204,0.00081195985,0.030843364,0.0013638118,0.007795814,2.0102752e-06,1.5766723e-06,1.9280162e-05,0.778515,5.1169404e-06,0,0,"x_miss",7755
"14",0.99998367,9.421563e-11,1.8809445e-07,2.7025312e-06,1.3114489e-05,2.0907494e-08,2.0765576e-08,4.074084e-09,2.221536e-07,1.3172392e-08,0,1,"x_in",1078
"15",0.9818463,3.3829718e-05,0.0071851523,0.00071896386,0.0003118108,0.0017585711,0.0079916,1.8172339e-05,0.0001354334,1.9537002e-07,0,1,"x_in",6082
