"","0","1","2","3","4","5","6","7","8","9","class","index"
"1",0.7960253,9.24293e-06,0.13894647,0.00012644067,0.0034995857,2.6394475e-06,1.5611389e-06,1.4885576e-07,0.061388634,8.191519e-09,0,415
"2",0.9996055,3.9224574e-06,3.0701076e-06,3.4190261e-06,1.3603164e-06,1.6927093e-07,2.8624723e-07,3.7137306e-07,0.00022849183,0.00015361999,0,463
"3",0.8994581,4.009985e-07,8.467009e-05,5.9405884e-05,0.09726786,0.0029505466,3.7451525e-07,0.00017608398,1.4933169e-06,1.1490931e-06,0,179
"4",0.75523686,3.166278e-08,0.22310525,0.00013371535,0.00031841532,2.4840236e-05,2.555532e-06,2.2531026e-07,0.021176714,1.3257913e-06,0,526
"5",0.99956423,4.655487e-06,5.8813453e-06,1.2516596e-05,5.4428965e-05,7.487367e-07,0.00030384975,2.2727363e-06,2.8963825e-05,2.2511986e-05,0,195
"6",0.010204824,4.0300583e-06,1.4338919e-05,2.9761184e-05,2.6121865e-05,1.7108451e-06,6.2934866e-09,0.96233505,1.652308e-05,0.0273676,0,938
"7",0.93644756,1.4862496e-08,0.0052079586,5.782259e-06,4.7834733e-06,2.429373e-07,0.00034509215,3.5656385e-09,0.057987582,9.786172e-07,0,818
"8",0.99477494,6.421269e-08,2.0279544e-05,5.5198026e-08,0.0014032046,1.96579e-08,4.5594126e-07,6.788583e-05,0.0036792282,5.373157e-05,0,118
"9",0.727709,1.8091413e-06,1.7362614e-05,6.2252656e-09,2.5911145e-06,3.0159224e-09,1.6119388e-08,5.488217e-09,0.24121495,0.03105423,0,299
"10",0.9999529,7.128753e-08,1.1256117e-08,2.2177761e-05,1.559362e-05,1.5011017e-07,1.621918e-10,9.038029e-06,2.9494021e-08,8.618979e-09,0,229
"11",0.87497497,5.4336734e-08,8.395949e-06,4.397236e-06,0.0005861139,4.0156112e-07,1.7855706e-09,9.860314e-06,2.9753494e-06,0.12441278,0,244
"12",0.9999356,2.1966129e-05,2.8778095e-09,5.7115376e-06,7.2352955e-09,7.5663614e-08,6.027073e-11,1.0509884e-05,3.2608904e-10,2.6141903e-05,0,14
"13",0.9975362,2.8416493e-05,9.871317e-09,0.00010655803,0.002283608,3.0918796e-05,1.8859764e-07,5.4007188e-08,6.1180713e-06,7.885927e-06,0,374
"14",0.9997491,2.072062e-09,3.7947997e-05,2.563587e-07,9.7289005e-05,5.3287323e-08,2.5494735e-08,4.3167063e-08,0.00011492695,3.9632477e-07,0,665
"15",0.90069884,0.000440671,0.01630506,0.00026407168,0.008535854,3.7701744e-07,8.5052193e-07,6.87446e-05,0.07366065,2.5024907e-05,0,602
"16",0.9992029,1.4905408e-08,3.4655037e-05,2.2425745e-08,0.00026176928,1.9525377e-08,2.643798e-09,2.231915e-08,0.00049887155,1.7150163e-06,0,603
"17",0.2710002,3.34307e-06,1.8532757e-05,9.3274274e-08,3.7156722e-06,6.784482e-08,2.4357469e-06,3.3568556e-10,0.72896886,2.6428593e-06,0,768
"18",0.16095541,7.626534e-08,0.83495647,6.507954e-06,0.0027153634,3.0937626e-06,0.00026110123,3.353188e-06,0.0010986652,1.2646532e-09,0,709
"19",0.6070804,0.00038296403,0.00022230731,3.731237e-08,3.920466e-06,3.9849553e-08,4.0184073e-05,3.882357e-09,0.0018466226,0.3904235,0,91
"20",0.02237053,6.6645102e-06,0.05101988,0.007474133,0.0047430233,0.00038525846,0.12113418,0.00032085262,0.7924896,5.588481e-05,0,953
"21",0.9525668,6.072279e-08,0.00012236134,1.8554681e-05,0.04685854,6.813214e-05,1.8238035e-07,0.00022187456,0.00011428533,2.9344295e-05,0,348
"22",0.84292954,0.0006383588,0.009071403,0.00025923573,0.0012343521,9.188558e-06,0.0013013306,8.956346e-06,0.14454578,1.7912555e-06,0,649
"23",0.501318,6.660773e-05,6.6476146e-06,3.7283284e-05,2.9211579e-08,4.0107782e-08,6.171587e-05,8.5255164e-07,0.49749827,0.0010106539,0,355
"24",0.9933248,0.0003261176,8.742599e-07,8.199173e-08,3.174735e-07,6.9018224e-10,3.7374e-09,6.2480643e-09,0.00460595,0.001741934,0,840
"25",0.6657185,0.0022026072,0.0027198924,0.024232516,0.19713394,0.09150838,0.00038444204,0.0011346044,0.014266861,0.0006983492,0,26
"26",0.9618546,0.0004403993,4.576795e-07,0.027736949,4.628526e-06,2.0032937e-07,1.4221741e-08,6.3576816e-05,0.008835358,0.0010638603,0,519
"27",0.03813594,7.062715e-08,0.02463441,0.16591306,0.58580154,0.020556796,0.1647654,0.00019251667,2.8488214e-09,2.6296559e-07,0,426
"28",0.9851767,3.0928673e-05,0.012620371,0.0006709449,0.00090592087,2.0871677e-05,0.00055885897,3.007214e-10,1.601377e-07,1.52037555e-05,0,979
